IdTrack;RFID;Sticker;Pfad;Titel
IdTrack001;;;;
IdTrack002;;;;
IdTrack003;;;;
IdTrack004;;;;
IdTrack005;;;;
IdTrack006;;;;
IdTrack007;;;;
IdTrack008;;;;
IdTrack009;;;;
IdTrack010;;;;
IdTrack011;;;;
IdTrack012;;;;
IdTrack013;;;;
IdTrack014;;;;
IdTrack015;;;;
IdTrack016;;;;
IdTrack017;;;;
IdTrack018;;;;
IdTrack019;;;;
IdTrack020;;;;
IdTrack021;;;;
IdTrack022;;;;
IdTrack023;;;;
IdTrack024;;;;
IdTrack025;;;;
IdTrack026;;;;
IdTrack027;;;;
IdTrack028;;;;
IdTrack029;;;;
IdTrack030;;;;
IdTrack031;;;;
IdTrack032;;;;
IdTrack033;;;;
IdTrack034;;;;
IdTrack035;;;;
IdTrack036;;;;
IdTrack037;;;;
IdTrack038;;;;
IdTrack039;;;;
IdTrack040;;;;
IdTrack041;;;;
IdTrack042;;;;
IdTrack043;;;;
IdTrack044;;;;
IdTrack045;;;;
IdTrack046;;;;
IdTrack047;;;;
IdTrack048;;;;
IdTrack049;;;;
IdTrack050;;;;
IdStop1;;;;
IdStop2;;;;
